name,deadline,priority,completed,added_time,completed_time,category
LeetCode 3 ,2024/10/1,High,TRUE,2024/10/1,2024/10/1,Study
Submit Java Assignment,2024/10/1,High,TRUE,2024/10/1,2024/10/1,Study
Gym workout,2024/10/2,Medium,FALSE,2024/10/2,,Personal
do grocery shopping,2024/10/2,Low,TRUE,2024/10/2,2024/10/2,Personal
LeetCode 3 ,2024/10/2,High,FALSE,2024/10/2,,Study
Research for Project,2024/10/3,High,FALSE,2024/10/3,,Study
Gym workout,2024/10/3,Medium,TRUE,2024/10/3,2024/10/3,Personal
LeetCode 3 ,2024/10/3,High,TRUE,2024/10/3,2024/10/3,Study
Gym workout,2024/10/4,Medium,TRUE,2024/10/4,2024/10/4,Personal
LeetCode 3 ,2024/10/4,High,FALSE,2024/10/4,,Study
Work on Car Project,2024/10/5,High,TRUE,2024/10/5,2024/10/5,Study
Gym workout,2024/10/5,Medium,TRUE,2024/10/5,2024/10/5,Personal
LeetCode 3 ,2024/10/5,High,FALSE,2024/10/5,,Study
Submit Report,2024/10/6,High,TRUE,2024/10/6,2024/10/6,Study
Gym workout,2024/10/6,Medium,TRUE,2024/10/6,2024/10/6,Personal
LeetCode 3 ,2024/10/6,High,FALSE,2024/10/6,,Study
Gym workout,2024/10/7,Medium,TRUE,2024/10/7,2024/10/7,Personal
LeetCode 3 ,2024/10/7,High,TRUE,2024/10/7,2024/10/7,Study
Review Code for Project,2024/10/8,High,TRUE,2024/10/8,2024/10/8,Study
Gym workout,2024/10/8,Medium,TRUE,2024/10/8,2024/10/8,Personal
LeetCode 3 ,2024/10/8,High,FALSE,2024/10/8,,Study
Work on Car Project,2024/10/9,High,TRUE,2024/10/9,2024/10/9,Study
Gym workout,2024/10/9,Medium,TRUE,2024/10/9,2024/10/9,Personal
LeetCode 3 ,2024/10/9,High,TRUE,2024/10/9,2024/10/9,Study
Gym workout,2024/10/10,Medium,TRUE,2024/10/10,2024/10/10,Personal
LeetCode 3 ,2024/10/10,High,TRUE,2024/10/10,2024/10/10,Study
do grocery shopping,2024/10/10,Low,TRUE,2024/10/10,2024/10/10,Personal
Prepare Meeting Presentation,2024/10/11,High,TRUE,2024/10/11,2024/10/11,Study
Gym workout,2024/10/11,Medium,FALSE,2024/10/11,,Personal
LeetCode 3 ,2024/10/11,High,TRUE,2024/10/11,2024/10/11,Study
Gym workout,2024/10/12,Medium,TRUE,2024/10/12,2024/10/12,Personal
LeetCode 3 ,2024/10/12,High,FALSE,2024/10/12,,Study
Review Report for Project,2024/10/13,High,TRUE,2024/10/13,2024/10/13,Study
Gym workout,2024/10/13,Medium,TRUE,2024/10/13,2024/10/13,Personal
LeetCode 3 ,2024/10/13,High,TRUE,2024/10/13,,Study
Gym workout,2024/10/14,Medium,TRUE,2024/10/14,2024/10/14,Personal
LeetCode 3 ,2024/10/14,High,TRUE,2024/10/14,2024/10/14,Study
Update Project Documentation,2024/10/15,High,TRUE,2024/10/15,2024/10/15,Study
Gym workout,2024/10/15,Medium,FALSE,2024/10/15,,Personal
LeetCode 3 ,2024/10/15,High,TRUE,2024/10/15,2024/10/15,Study
do grocery shopping,2024/10/15,Low,TRUE,2024/10/15,2024/10/15,Personal
Gym workout,2024/10/16,Medium,TRUE,2024/10/16,2024/10/16,Personal
LeetCode 3 ,2024/10/16,High,TRUE,2024/10/16,2024/10/16,Study
Finalize Project for Review,2024/10/17,High,TRUE,2024/10/17,2024/10/17,Study
Gym workout,2024/10/17,Medium,TRUE,2024/10/17,2024/10/17,Personal
LeetCode 3 ,2024/10/17,High,FALSE,2024/10/17,,Study
